To confirm the order he has to pay the total amount,Relevant
Once the order is confirmed a notification is sent to the restaurant to inform them of what to prepare,Relevant
The restaurant has the possibility to refuse the order if it is no longer able to do so,Irrelevant
In this case the order is cancelled the customer receives a message and a refund,Relevant
If the restaurant accepts Delivroo estimates the preparation time and contacts a delivery person who is in the vicinity,Relevant
The delivery person receives a message with the address of the restaurant and the address of the customer,Relevant
When the delivery person has taken the order from the restaurant a notification is sent to the customer,Relevant
The notification says Get ready your meal will arrive soon,Irrelevant
Once the order has been delivered the delivery fee is paid to the delivery person s account and the price of the meal is paid to the restaurant s account,Relevant
Finally a message of satisfaction is sent to the customer,Relevant
The Ordinary is a skin care and cosmetic company,Irrelevant
The purchasing process actually starts on their web shop the client can either go on their product page or choose to go the regimen guide page before the product page,Relevant
When he goes through the products the client goes on the main page,Relevant
Then the consumer puts his order in the basket,Relevant
For instance a serum and sunscreen,Irrelevant
When the customer is done with the purchase he goes to the basket page to pay,Relevant
The ordinary has recently been purchased by the firm Estée Lauder,Irrelevant
The company offers several types of payments,Irrelevant
The client pays with his credit card or via PayPal,Relevant
If the client doesn t pay the processed is finished,Relevant
The consumer is notified through a message,Relevant
This is a chocolate chip cookie recipe that is easily made,Irrelevant
The baking process begins when the person heats the oven,Relevant
First the individual takes a bowl and a mixer,Relevant
Then he mixes together the butter the white sugar and the brown sugar in the bowl,Relevant
This recipe is very simple to follow,Irrelevant
In the meantime he beats the eggs with the vanilla extract and ads it to the mix in the bowl,Relevant
In another recipient he puts hot water and baking soda,Relevant
He adds chocolate chips or nuts,Relevant
It depends on the taste he prefers,Irrelevant
Afterwards he incorporates the flour to the blend,Relevant
After he adds the hot water and baking soda mix in the first bowl,Relevant
He places large spoons of the batter on a pan,Relevant
Next he puts it in the oven,Relevant
The process finishes when he takes the cookies out of the oven,Relevant
Zalando is a website a mobile application where we can buy clothes shoes and a lot of things ,Irrelevant
There are a range for women and a range for men ,Irrelevant
The process starts when the client is looking for what he wants or for what he needs ,Relevant
Then the client has to choose the color and the size of the item that he wants ,Relevant
Prices are not too high on this website ,Irrelevant
After that the client puts the article in his shopping cart and he orders it and at the same moment he pays ,Relevant
Once it is done the client receives an email that confirms his order and that informs him when the article will be delivered ,Relevant
Then the client has to wait more or less 4 5 days before receiving the product ordered ,Relevant
The delivery day the client receives an email by Bpost saying that the order will come in a time slot ,Relevant
At the same time the delivery guy goes on the road ,Relevant
The process ends when on the delivery day the postman rings at the door and gives the package to the client,Relevant
The process starts when the client decides to eat a pizza a Friday night ,Relevant
The client looks at the menu on the web and chooses the pizza that he wants ,Relevant
There are a lot of different pizzas more or less 20 types of pizzas and there is also pasta ,Irrelevant
Then the client call the number of the pizzeria ,Relevant
At the same time he tells what he wants ,Relevant
He has gives his name ,Relevant
The pizza chef says what time the pizza will be ready ,Relevant
Then the client has to wait between 30 minutes and 1 hour ,Relevant
When it is time to go the client leaves his home and goes to the pizzeria ,Relevant
The pizzeria is close to his home otherwise the pizza will be cold ,Irrelevant
When he arrives to the pizzeria he pays and he takes his pizza ,Relevant
The process ends when he gets back home with the pizza,Relevant
This process is about ordering a book from a local book store,Irrelevant
the process starts with the customer calls the book store and placing his order,Relevant
the book store s clerk checks the availability of the requested books in the store,Relevant
if all books are available the order gets the status ready for processing,Relevant
if some books are missing the clerk has to reorder them and wait for the whole order to be complete until he changes the status ,Relevant
At 15 o clock the preparations for planning the delivery route start,Relevant
All orders with the status ready for processing are planned for delivery,Relevant
Other status  cannot be planned for delivery,Irrelevant
After planning the delivery the customer receives an information on the delivery time,Relevant
Also the driver packs all books into the truck and deliver them afterwards,Relevant
if an order gets the status ready for processing then the bill can be created,Relevant
after the customer gets his books he pays for his order ,Relevant
the process ends with receiving the payment from the customer,Relevant
This process is about ordering a painter in a paint store,Irrelevant
process starts when the customer calls the painting company for ordering a painter,Relevant
the painting company checks all details and decides whether additional information is needed,Relevant
if additional info is needed the painter gets send to visit the customer and recover all details,Relevant
possible details like super dry walls can need more paint and make the offer more expensive,Irrelevant
after getting details from customer and or painter the company sends an offer to the customer,Relevant
the customer verifies the offer and decides if he wants to place the order with the company,Relevant
when an order is received the company has to check if all materials for painting are in stock,Relevant
if there is material missing the company has to reorder and wait delivery of missing materials,Relevant
then the painter gets send to the customer,Relevant
the painter paints the walls and reports any problems or other events to the company,Relevant
for example if painting the walls takes longer due to customer interference the price is higher,Irrelevant
the company adjusts the original offer based on the report and create a bill for the customer,Relevant
the customer pays the bill,Relevant
the process end with the painting company receiving the payment,Relevant
The customer is hungry and so goes to the restaurant and orders a hamburger,Relevant
The waiter takes the order,Relevant
If the customer has not received the order within 40 minutes he tells the server and the process will start again at take the order,Relevant
Once the waiter has taken the order the kitchen team gathers the ingredients,Relevant
They cook the disches,Relevant
For example fries burgers ,Irrelevant
Someone set up the plate or wrap the order,Relevant
Then the waiter takes the prepared dish and brings it to the customer,Relevant
Within 15 minutes the customer receives the dish,Relevant
The customer eats and his hunger is satisfied end of process,Relevant
The customer applies for a trip,Relevant
The travel agency receives this request and looks for the destination air tickets hotel etc,Relevant
The travel agency then makes a proposal to the client,Relevant
The customer looks at whether the offer is suitable,Relevant
Or he doesn t like the offer and it s back to the beginning of the process request a trip,Relevant
Either the customer likes the proposal and the process continues,Relevant
The customer confirms his choice ,Relevant
The travel agency confirms the hotel the plane ticket and everything that follows,Relevant
The customer pays for the trip,Relevant
The agency receives the tickets and transfers them by e mail to the client,Relevant
A poke bowl is one of the main dishes of traditional Hawaiian cuisine,Irrelevant
It is made with raw fish cut into cubes served as a starter or as a main course,Irrelevant
The process starts when you realize you are hungry and you decide to eat a poke bowl,Relevant
You go to the library to buy a cookbook specialized in poke bowls recipes,Relevant
Back home you start reading the book to search for the recipe you prefer,Relevant
