Sentence,Class
All the ongoing orders are also registered in Telenaro,Relevant
When the delivery man arrives at the location of the delivery the operator in charge at the station gives him the delivery probe that has to be scanned at the pump to allow the tankage as well as to confirm to Telenaro that the delivery is made,Relevant
After the tankage the delivery man encodes the amount of fuel he just delivered and the system will compare that amount to the one measured by the probe,Relevant
If they do not correspond the system asks the delivery man to re encode the amount and makes the verification again,Relevant
After three times asking for re encodage if the encoded amount and the probed amount still do not correspond the system sends a message to the firm in order to signal it,Relevant
Then the delivery is confirmed by the system to the operator in charge as well as to Telenaro,Relevant
The system automatically creates and sends the invoice to the society that benefited from the delivery and a copy to the manager in charge so that he is able to control if the delivery corresponds to the negotiations made at the moment of the ordering,Relevant
It also generates the excise documents for the recovering as well as the official declaration for the Ministry,Relevant
When an operator from any department wants to make a purchase he has to fill in an investment request,Relevant
Four different investment requests are used in Keolis Belgium for ,Relevant
Rolling stock buses for regular lines scholar lines tourisms but also trailers for the luggages ,Relevant
No rolling stock supplies for the garages tools compressors ,Relevant
Properties buildings but also air conditioning garage doors led lights bus wash ,Relevant
IT infrastructures cabling laptops desktops servers magnetic access cards surveillance cameras ,Relevant
See the annexes for samples of the four investment requests,Irrelevant
Once the investment request is completed the amount of the expense is controlled by the purchase department regarding the budgetization of the year,Relevant
If the management validates the purchase the investment request has now to be signed by the supervisor of the departments concerned by the purchase as well as a head of the purchase department in order to acknowledge the validation of the purely budgetary aspect,Relevant
Once the investment request has been signed it is sent via email to the supplier that launches the delivery,Relevant
In order to close the process the invoice still has to be validated by the purchase department that confirms the purchase,Relevant
The firm has a few master contracts with some suppliers and all the subsidiaries are strongly encouraged to make their purchases through those master contracts as a priority,Irrelevant
Of course case by case exceptions are possible but this tolerance toward the appeal to other suppliers is supervised if a department constantly makes purchases with other suppliers that the ones concerned by the master contracts negotiated by the organisation an operational manager or an head of the subsidiary will make sure it stops,Relevant
In fact 76 of the purchases of the organisation are made within master contracts,Irrelevant
For example all the OPEX Operational Expenditures that concern office supplies are subject to master contracts,Irrelevant
If no master contract concerns the purpose of the purchase and if the amount if that purchase exceeds 5 000 euros three offers generally have to be collected before making a choice of a supplier in order to compare the price quality ratios the delivery time the quality of the after sales service etc,Relevant
here again exceptions are of course possible,Irrelevant
The final choice of a supplier is made by the purchase department in tandem with the ones who will benefit from the purchase,Relevant
Besides those master contracts the company also has some price conventions and other pre negotiated purchase terms with some other suppliers,Irrelevant
Whenever the company wants to broaden the number of clients it reaches the very first step concerns the work of the marketing team,Relevant
The aim is to get information about potential clients in order to determine if the company can propose valuable services to them and conclude an order,Irrelevant
This preparation is essential because it is the foundation of the sale process the sales representatives from the commercial team have to be well prepared for the coming negotiation,Irrelevant
Once the information has been collected through market analysis the commercial team contacts the potential client and a first negotiation takes place,Relevant
The aim is to determine whether the client is interested by the potential offer and the sales representative bases its argumentation on the client analysis previously communicated by the marketing department,Relevant
After the negotiation and if the client is indeed interested a first offer is created,Relevant
This offer needs to be signed by several managers if the offer is not appropriated it might compromise the sale,Relevant
After having been signed the offer is sent to the client by email,Relevant
If the client directly accepts the offer the sale is validated and the processes of invoicing and delivering can start,Relevant
But if the client is not entirely satisfied with the proposition more negotiations can take place in order to have the approval of the client while still respecting the frames and goals from the management,Relevant
Repeating the last circle several times would be very heavy due to the long approbation chain but that almost never occurs generally if the second offer is still not validated by the client the sale is cancelled,Relevant
At the beginning of each month the account of more than 40 small societies that all kept their legal entity need to be closed in 4 working days,
To do so a lot of accountants work in the subsidiaries and each of them close two or three files within 4 days,
Their work mainly consists in verifying and gathering the invoices as well as the charges,
For the invoices the ones that concern the regular services and the scholar services come directly from the manager at the moment of the service provision and immediately verified by the accountant,
On the other side for the taxis the tourism sector invoices to be drawn up are used because the very end of the service needs to be reached in order to know the total costs engaged,
For the charges the accountants have to look into the salaries and wages,
In the organisation those are based on the real pay on what has actually been paid with almost no accounting provisions,
All the other types of charges are also taken into account rent provisions fuel costs charges from invoices that still need to be drawn up properties maintenance  As mentioned right above within 4 working days starting at the 1st of the month the accountants have to close their files and send them to the management accountants for verification and for a fist analysis,
Keolis Belgium comprises 3 management accountants one for Wallonia one for Flanders and one for Brussel,
Thus on the 4th of the month they verify the work of the accountants according to the budgetization of the month and the year the fluctuations from month to month etc,
They have a more global vision that is both operational and budgetary,
After receiving the approval from the management accountants the accountants inject the files in BOFINANCE the reporting tool used by Keolis SA that has its headquarters in France,
The headquarter then consolidates the accounts and adds on top operations such as adjusted depreciation expenses to make those accounts correspond to the International Financial Reporting Standards,
The 3 management accountants then receive the consolidated accounts consolidate them again into 3 reports one for each region and a second analysis takes place estimation of the gaps between the non consolidated and the consolidated accounts identification of the impact of the events of the month ie the price variation of the fuel on the turnover as well as on each part of the business of the organisation scolar part tourism part regular services part  etc,
This analysis is a from the real to the budget analysis a waterfall of all the impacts is made in order to obtain the budget of the month,
Currently the impact of the covid crisis is at the center of those monthly analyses,
If the impact on scholar transportation is relatively small the one on the tourism sector is huge since all the activities are stationary,
Moreover the reinforcements asked by La TEC that needed more vehicles also have had consequences,
On the 5th day of the month the management accountants send the 3 reports to the directors of each region,
It is indeed important that the results of their analysis are communicated with the operational managers,
Finally on the 6th day of the month the management accountant of Wallonia consolidates the 3 reports in order to obtain one consolidated report for Belgium which is required by the headquarter in France,
Empty bottles are returned by the customers once the bottles are received we sort the types of bottles before washing them afterwards we control the cleanliness of the bottles and the quality of the bottles with a laser to detect the slightest defect,Relevant
If the bottles have defects they are rejected and if not they are kept,Relevant
Then the bottles are filled captured labelled and marked with the expiry date,Relevant
Then the bottles go to the warehouse for storage,Relevant
AB Inbev needs bottles so they will order the bottles from their suppliers,Relevant
The suppliers check the order if it is accepted a confirmation is sent to AB Inbev then the suppliers plan the transportation then they send the invoice and at the same time the bottles are delivered by truck to AB Inbev,Relevant
Once the trucks are received AB Inbev unload the trucks and then they check the goods if everything is good the bottles are stored if not AB Inbev sends the bad products back to the suppliers and the suppliers will send a new invoice and the good products or missing products to AB Inbev who will unload the trucks check the goods before storing them,Relevant
purchase order is received at the logistics department if it is a new customer it has to be entered into the VPO System which is used by all AB Inbev breweries,Relevant
The VPO manager will then send the order information to the warehouse which will then check the availability of the beer for the order,Relevant
If everything is available the order is prepared otherwise a request is sent to the packaging department to produce the missing beer,Relevant
Once the beer is ready it is delivered and the invoice is sent to the customer,Relevant
AB InBev receives unsolicited applications but also via other channels Indeed and Forem the People department receives applications,Relevant
1 CV screening consists of the elimination of CVs that do not meet the criteria requested by the company and when information is missing we send an e mail to warn the candidate,Relevant
If they do not meet the criteria their application will not have been selected,Relevant
2 The telephone interview the recruiter will contact the selected candidates by telephone 5 10 minutes,Relevant
If he is convinced he will invite the candidate to the recruitment morning,Relevant
3 The recruitment morning is a collective interview there is a series of tests,Relevant
Successful candidates are contacted by telephone to invite them to the next interview with the N+1 or N+2,Relevant
4 Interview with the department manager The manager turns his interview more towards the personality of the candidate,Relevant
If the candidate is accepted he or she is invited to a training course,Relevant
5 Form Alim training Form Alim is a training course specially created for production operators in the food industry,Irrelevant
6 The first seasonal contract and coaching When signing the contract the candidate is invited to the People Department to complete documents,Relevant
7 The permanent contract If the employee receives a sufficient number of positive feedbacks his manager is satisfied with his work and ABI has the opportunity to do so he will be offered a permanent contract,Relevant
Different types of malts are put together in the tank,Relevant
They are crushed in order to extract the fermentable sugar,Relevant
The resulting product is then mixed with heated water in a vat,Relevant
Then the liquid is pumped into another tank in which the husks of the grains are separated from the suicidal liquid,Relevant
The liquid obtained is then subjected to strong heat in a kettle,Relevant
After this step we will be able to proceed to the fermentation process we will add hops and yeast which will convert the sugar into beer then we will cool the beer filter it and add CO2 to make the beer sparkling,Relevant
So all that remains is to wait until the beer is mature 3 weeks before it can be sold and consumed,Relevant
The aim of this process is to answer positively or not to an employee s holiday request,Irrelevant
The process starts when an employee makes a request which is received by a human resource analyst,Relevant
The analyst takes charge of the request by changing its state to pending which means that the demand is neither approved nor rejected,Relevant
Then the request is sent to the manager of the requester s department,Relevant
This is the first step that the request has to go through,Irrelevant
If the manager rejects the request the analyst changes its state to rejected and the process ends with a notification sent to the employee,Relevant
Otherwise if the manager accepts the request the analyst changes the state of the request to approved and the first step is done,Relevant
After that the request also has to be granted by the human resource manager,Relevant
The aim of this process is to allocate human resources to a specific task,Irrelevant
To understand it properly it is common sense yet important to note a human resource cannot be assigned to a project if this one doesn t already exist,Irrelevant
In the same way we cannot create a project before having a customer to which it relates,Irrelevant
So in the most common cases the manager will want to allocate a human resource to a specific project so he is going to trigger the process by its higher start event,Relevant
Then he is going to create and fulfill the new resource page and add it on the project,Relevant
That leads straightly to the higher end event and this is the shortest way to go through the process,Relevant
Otherwise if after trying to create this page the software realizes that this new resource doesn t refer to an existing project the process leads the analyst to the creation of this one,Relevant
This is the role of the first gateway,Irrelevant
After successfully filling each step the process brings back the analyst on the first line and to the first end event,Relevant
In the same way if during the creation of a new project the software realizes that this project doesn t relate to a registered customer then the process leads the analyst in the encoding of this new customer,Relevant
This is the role of the purple gateway,Irrelevant
After having registered this new customer the process brings the employee back to the second and then to the first line that leads again to the first end event,Relevant
Of course we could imagine the case where the analyst would only want to create a new project or to register a new customer without immediately allocating a resource to it,Irrelevant
This is the role of the second and the third start events which respectively leads to the second and third end events,Irrelevant
This business process is triggered when the training manager wants to create a training,Relevant
If the training has not already been taught in the past then the manager has to create a whole new training,Relevant
cfr linked subprocess,Irrelevant
Otherwise the manager only has to schedule the session of related training called then a session and contact the external trainer of his choice specialized in this field,Relevant
As the attendance needs to be recorded for obvious financial and organizational reasons the manager establishes a list of attendees thanks to the form sent earlier on and the IT training system,Relevant
1 week before the training s day a reminder is sent by email to the attendees,Relevant
After the session the manager has to perform 3 tasks simultaneously ask for a debrief apply the post training process and update attendees  skills in the database,Relevant
That being done the whole process finally ends,Relevant
Subprocess If a training has not been given yet on a particular subject in the past the manager has to design the training and fill a form with the details of it,Relevant
If the HR director does not accept the training framework for various reasons the training being too expensive too time consuming for the human resources etc the manager has to re evaluate it and redesign the training,Relevant
Otherwise the manager can select the language the training will be given in French English or both,Relevant
Finally he has to save the choices made before and this creates the training in their IT training system,Relevant
This BPMN is relative to the internal invoicing and the payment of an internal contract,Irrelevant
It happens when an entity of the group ARHS offers its services to another entity,Relevant
The accounting officer of the entity providing its services receives the framework which is the name given to an internal contract from the indebted entity s accounting department,Relevant
The latter selects lines corresponding to the framework and records it in Interco which is the software used for internal contracts,Relevant
After that the accounting officer clicks on the button send to invoice and the invoice is registered as to be received in FICO which is the general accountancy software,Relevant
Finally the accounting officer waits for the payment and sends a reminder after 30 days of waiting to the indebted entity,Relevant
They do not charge any kind of late fees to each other as they are all part of the same group,Irrelevant
Once it is received the invoice gets archived,Relevant
If the company finds an interesting profile the HR employee searches for information about them creates a proposal and sends them an email,Relevant
If the person rejects the proposal or does not respond to it within three weeks the process ends,Relevant
However if they accept the proposal the human resources employee calls them to set up a meeting a week later,Relevant
Once the interview has been made the HR employee arranges a visit to the company for a moment later,Relevant
Once the visit and the interview have been carried out a skills test for the potential future employee has to be taken,Relevant
Depending on their result the company decides whether to hire them or not,Relevant
If the answer is yes the company considers a contract proposal and calls the candidate to discuss it,Relevant
The company is then awaiting for their response,Relevant
The latter can accept or refuse the contract,Irrelevant
If the answer is negative a new call is scheduled to renegotiate the employment clauses,Relevant
If accepted the employee is hired and their profile is registered in the company system,Relevant
Another way to get into the hiring process is to apply through an online form on the company website or to spontaneously apply to the company,Relevant
In the first case the documents of the applicants their CV and the online form will be analyzed by a human resources employee,Relevant
In the second case the employee will only analyze the documents and CVs of the applicants,Relevant
Based on these documents the employee decides whether or not to go on with the process by calling the candidate if selected,Relevant
The process starts when a message from the MRP system2 is received,Relevant
Indeed to manufacture a pump for a customer they need material resources and the MRP system knows it so it sends notifications to the central purchasing department that will then take care of this information,Relevant
Then three activities have to be done in parallel Create an X Flow3 Request for quotation to the supplier Do a framework agreement price matrix it is done to calculate costs of the pump,Relevant
When these 3 tasks are completed the company places an order with its supplier who then takes care of the delivery,Relevant
Then the product is sent to the quality control to check the quality of the products received,Relevant
If the quality does not meet the expectations they are sent back to the supplier and the supplier delivers better products or does some repairs on them,Relevant
If the quality is good they are sent to the Central purchasing department with the invoice,Relevant
When the invoice is received they have to validate the invoice in order to confirm that everything is ok and matches the information in the X Flow which allows the accounting department to free up money and the process ends like this,Relevant
The process starts when the planning department receives a sales order from the customer,Relevant
They are then able to prepare a preliminary planning and to give feedback to the project manager for the kick off meeting KOM,Relevant
Then the master planner attends the KOM and thanks to the minutes of meeting MOM that he receives by mail he can update the planning and save a deadlines baseline that contains all the project s milestones,Relevant
The planning department can then launch the production order by putting it into the SAP system,Relevant
Then meetings take place each week until the end of the production,Relevant
In case there are delays due to some modifications in the plan of the pump or delays due to late deliveries from the supplier the project manager is informed and he gives this information to the planning department,Relevant
The planning is then updated,Relevant
The whole company is supposed to follow this planning and to act according to it,Irrelevant
The process ends when the pump is done,Relevant
The process starts when an idea of conception comes to the mind of somebody in the business unit,Relevant
