Sentence,Class
The party sends a warrant possession request asking a warrant to be released,Relevant
The Client Service Back Office as part of the Small Claims Registry Operations receives the request and retrieves the SCT file,Relevant
Then  the SCT Warrant Possession is forwarded to Queensland Police,Relevant
The SCT physical file is stored by the Back Office awaiting a report to be sent by the Police,Relevant
When the report is received  the respective SCT file is retrieved,Relevant
Then  Back Office attaches the new SCT document  and stores the expanded SCT physical file,Relevant
After that  some other MC internal staff receives the physical SCT file  out of scope ,Relevant
As a basic principle  ACME AG receives invoices on paper or fax,Irrelevant
These are received by the Secretariat in the central inbox and forwarded after a short visual inspection to an accounting employee,Relevant
In ACME Financial Accounting  a software specially developed for the ACME AG  she identifies the charging suppliers and creates a new instance  invoice ,Relevant
She then checks the invoice items and notes the corresponding cost center at the ACME AG and the related cost center managers for each position on a separate form  docket ,Relevant
The docket and the copy of the invoice go to the internal mail together and are sent to the first cost center manager to the list,Relevant
He reviews the content for accuracy after receiving the copy of the invoice,Relevant
Should everything be in order  he notes his code one on the docket  accurate position - AP  and returns the copy of the invoice to the internal mail,Relevant
From it  the copy of the invoice is passed on to the next cost center manager  based on the docket  or if all items are marked correct  sent back to accounting,Relevant
Therefore  the copy of invoice and the docket gradually move through the hands of all cost center managers until all positions are marked as completely accurate,Relevant
However  if inconsistencies exist  e.g. because the ordered product is not of the expected quantity or quality  the cost center manager rejects the AP with a note and explanatory statement on the docket  and the copy of the invoice is sent back to accounting directly,Relevant
Based on the statements of the cost center managers  she will proceed with the clarification with the vendor  but  if necessary  she consults the cost center managers by telephone or e-mail again,Relevant
When all inconsistencies are resolved  the copy of the invoice is sent to the cost center managers again  and the process continues,Relevant
After all invoice items are AP  the accounting employee forwards the copy of the invoice to the commercial manager,Relevant
He makes the commercial audit and issues the approval for payment,Relevant
If the bill amount exceeds EUR 20 000  the Board wants to check it again  4-eyes-principle ,Relevant
The copy of the invoice including the docket moves back to the accounting employee in the appropriate signature file,Relevant
Should there be a complaint during the commercial audit  it will be resolved by the accounting employee with the supplier,Relevant
After the commercial audit is successfully completed  the accounting employee gives payment instructions and closes the instance in ACME financial accounting,Relevant
The loan approval process starts by receiving a customer request for a loan amount,Relevant
The risk assessment Web service is invoked to assess the request,Relevant
If the loan is small and the customer is low risk  the loan is approved,Relevant
If the customer is high risk  the loan is denied,Relevant
If the customer needs further review or the loan amount is for $10 000 or more  the request is sent to the approver Web service,Relevant
The customer receives feedback from the assessor or approver,Relevant
The process of Vacations Request starts when any employee of the organization submits a vacation request,Relevant
Once the requirement is registered  the request is received by the immediate supervisor of the employee requesting the vacation,Relevant
The supervisor must approve or reject the request,Relevant
If the request is rejected  the application is returned to the applicant employee who can review the rejection reasons,Relevant
If the request is approved a notification is generated to the Human Resources Representative  who must complete the respective management procedures,Relevant
The process of Vacations Request starts when any employee of the organization submits a vacation request,Relevant
Once the requirement is registered  the request is received by the immediate supervisor of the employee requesting the vacation,Relevant
The supervisor must approve or reject the request,Relevant
If the request is rejected the process will end,Relevant
If the request is asked to make a change then it is returned to the petitioner employee who can review the comments for the change request,Relevant
If the request is approved it will go to the purchase department that will be in charge of making quotations  using a subprocess  and select a vendor,Relevant
If the vendor is not valid in the system the purchase department will have to choose a different vendor,Relevant
After a vendor is selected and confirmed  the system will generate and send a purchase order and wait for the product to be delivered and the invoice received,Relevant
In any case the system will send a notification to let the user know what the result was,Relevant
In any of the cases  approval  rejection or change required the system will send the user a notification,Relevant
First  the Manager checks the open leads,Relevant
Afterwards  he selects the top five ones,Relevant
He then tells his Sales Assistant to call the contact person of the leads,Relevant
The Sales Assistant calls each customer,Relevant
If someone is interested  he sends a note to the Manager,Relevant
The Manager then processes the lead,Relevant
Otherwise  he calls the next customer,Relevant
The customer enters the withdrawal amount,Relevant
The ATM returns cash to the customer and changes his account balance,Relevant
If the balance on customer’s account is less than the withdrawal amount  the ATM returns an error,Relevant
In a bowl  mix the lemon juice  olive oil  Dijon mustard  garlic  red bell pepper  salt  and pepper,Relevant
Set aside 1 4 cup of the mixture to use for basting,Relevant
Place chicken in the bowl  and marinate at least 20 minutes in the refrigerator,Relevant
Preheat grill for high heat,Relevant
Lightly oil grill grate,Relevant
Drain and discard marinade from the bowl  and place chicken on the grill,Relevant
Cook 6 to 8 minutes on each side  until juices run clear  basting occasionally with the reserved marinade,Relevant
An employee purchases a product or service he requires,Relevant
For instance  a sales person on a trip rents a car,Irrelevant
The employee submits an expense report with a list of items  along with the receipts for each item,Relevant
A supervisor reviews the expense report and approves or rejects the report,Relevant
Since the company has expense rules  there are circumstances where the supervisor can accept or reject the report upon first inspection,Irrelevant
These rules could be automated  to reduce the workload on the supervisor,Irrelevant
If the supervisor rejects the report  the employee  who submitted it  is given a chance to edit it ,Relevant
for example to correct errors or better describe an expense,Irrelevant
If the supervisor approves the report  it goes to the treasurer,Relevant
The treasurer checks that all the receipts have been submitted and match the items on the list,Relevant
If all is in order  the treasurer accepts the expenses for processing,Relevant
 including  e.g. payment or refund  and accounting ,Irrelevant
