Source;Process Name;#;Sentence,Class
WU;Exercise No 1 Customer Creation in SAP;1;a) Upon receipt of a customer creation request the sales department verifies if the customer is already created using the SD and the AR,Relevant
WU;Exercise No 1 Customer Creation in SAP;2;b) If the customer is already created then customer creation will be aborted,Relevant
WU;Exercise No 1 Customer Creation in SAP;3;c) If the customer is not created then General Data Sales Area Data and Company Code Data are entered,Relevant
WU;Exercice 2;1;a) On delivering an order customer service specifies the shipping point and the order number in the sales distribution system (SD),Relevant
WU;Exercice 2;2;b) Before posting the goods issue (if the products are available) the system automatically performs an availability check,Relevant
WU;Exercice 2;3;If the products are not available the delivery process is abandoned,Relevant
WU;Exercice 2;4;The systems used are SD material management (MM),Irrelevant
WU;Exercice 2;5;c) Finally delivery is created the stock quantity of the delivered items is reduced accordingly and the customer order is debited,Relevant
WU;Exercice 3;1;a) A contract can be concluded with or without reference to a quotation,Relevant
WU;Exercice 3;2;The quotation needs to be valid,Relevant
WU;Exercice 3;3;Should the contract refer to a quotation sales support opens the contract from quotation,Relevant
WU;Exercice 3;4;b) Thereafter sales support determines the contract customer(s) and item(s),Relevant
WU;Exercice 3;5;c) Then the validity period of the contract is determined,Relevant
WU;Exercice 3;6;d) And finally the contract prices are determined and the contract is saved,Relevant
WU;Exercice 4;1;a) An offer is made by the sales department using the sales information system,Relevant
WU;Exercice 4;2;The offer can be with or without reference to an Inquiry,Relevant
WU;Exercice 4;3;An offer referring to an inquiry is created by using the data of the inquiry,Relevant
WU;Exercice 4;4;b) For offers without reference to an inquiry the company´s standard terms and the customer data are used to determine the offer header information,Relevant
WU;Exercice 4;5;c) Once the offer has been opened the manufacturing department determines the availability and then the approximate time of delivery of the products,Relevant
WU;Exercice 4;6;The availability check is carried out by using the material planning application,Relevant
WU;Exercice 4;7;d) At the same time the sales department determines the selling price from the customers terms and calculation data,Relevant
WU;Exercice 4;8;e) After the offer has been completed it is sent to the customer by the sales department,Relevant
WU;Exercice 4;9;Finally the process ends when the offer has been made,Relevant
WU;Exercice 5;1;a) Upon receipt of a customer inquiry the sales department makes and then sends the offer using the sales distribution system (SD),Relevant
WU;Exercice 5;2;After sending the offer sales follow up with the customer,Relevant
WU;Exercice 5;3;b) Once the customer order is received customer service captures it in SD,Relevant
WU;Exercice 5;4;Then an availability check is automatically performed on the order,Relevant
WU;Exercice 5;5;c) Products may be available partially available or unavailable,Irrelevant
WU;Exercice 5;6;Depending on which case applies the system will automatically assign available products to the order (if products are available) or create schedule lines for future goods receipt (if products are partially available or unavailable),Relevant
WU;Exercice 5;7;d) After the availability check run has been done the customer service agent posts the order and then confirms it,Relevant
WU;Exercice 5;8;Thereafter the customer service agent confirms the intended delivery date(s) to the customer,Relevant
WU;Exercice 5;9;The process ends once the order is confirmed,Relevant
WU;Exercice 6;1;a) When creating a cost centre (CC) the controlling department specifies the validity period of the cost centre and then assigns it to a cost centre group,Relevant
WU;Exercice 6;2;b) Once the cost centres are assigned to the standard hierarchy the basic data of the cost centre (CC name person in charge currency and category) is simultaneously determined,Relevant
WU;Exercice 6;3;c) Thereafter the controlling department assigns the organizational units (business area profit centre or both) to the cost centres,Relevant
WU;Exercice 6;4;d) Once the organizational units are assigned the controlling department determines the control indicators,Relevant
WU;Exercice 6;5;Finally the controlling department saves the captured data and as a result the cost centre is created,Relevant
WU;Exercice 7;1;a) When a production step is completed or a random sample taken the quality control department (QC Dept) performs a quality inspection,Relevant
WU;Exercice 7;2;To perform this operation an inspection plan and the product data are needed,Relevant
WU;Exercice 7;3;b) If the results are unsatisfactory then the manufacturing department needs to correct the production process and rework the defective parts,Relevant
WU;Exercice 7;4;c) Finally the results are reported to manufacturing control,Relevant
WU;Exercice 8;1;a) Net pay is typically calculated on a periodic basis (eg end of the month) or on request,Irrelevant
WU;Exercice 8;2;Pay determination from time and performance account is effected by the human resources department (HR Dept),Relevant
WU;Exercice 8;3;b) After calculation of net pay HR generates the payment to the employees,Relevant
WU;Exercice 8;4;At the same time net pay is posted into the payroll account and the data is transferred to other applications,Relevant
WU;Exercice 9;1;a) The product manager creates a new BOM by specifying the material number the usage and the validity period,Relevant
WU;Exercice 9;2;b) Thereafter the product manager enters the BOM components each component to be entered is given an item number (10 20 30) a component number a quantity and a validity date,Relevant
WU;Exercice 9;3;c) The components are assigned to the BOM either the operation from routing is assigned or the object dependencies are entered or the BOM item is classified or any combination of the BOM item assignments,Relevant
WU;Exercice 9;4;d) The controlling department enters the BOM header data (BOM group is determined status is set and base quantity is entered),Relevant
WU;Exercice 9;5;Finally the BOM is saved,Relevant
WU;Exercice 10;1;a) When creating a work centre the controlling department specifies the plant and the work centre category,Relevant
WU;Exercice 10;2;b) The controlling department specifies the basic data of the work centre,Relevant
WU;Exercice 10;3;Therefore it enters its DescriptionPerson ResponsibleUsage and Standard Value Key and specifies its Efficiency Rate and its Rules for Maintenance,Relevant
WU;Exercice 10;4;c) In the next step the capacity data is edited afterwards the formula and distribution keys are specified,Relevant
WU;Exercice 10;5;Finally the work centre is saved,Relevant
WU;Exercice 11;1;a) Upon receipt of a vendor creation request or if vendor data needs to be modified the purchasing department specifies the account group using the system materials management (MM),Relevant
WU;Exercice 11;2;b) Then either the purchasing department or the system determines the vendor number (depends on external or internal vendor number assignment),Relevant
WU;Exercice 11;3;At the same time the purchasing department determines the purchasing organisation,Relevant
WU;Exercice 11;4;c) Thereafter the purchasing data (conditions sales data and control data) is entered and finally the newly created vendor is saved,Relevant
WU;Exercice 12;1;a) At receipt of a customer complaint the customer service agent verifies if the complaint information (original invoice description of the failure report serial number) sent by the customer is complete,Relevant
WU;Exercice 12;2;b) If the information is incomplete the customer service agent requests the missing information,Relevant
WU;Exercice 12;3;If the customer has still not sent the necessary information the complaint is declined,Relevant
WU;Exercice 12;4;c) In the other cases the customer service agent holds enough information to process the complaint,Relevant
WU;Exercice 12;5;The system used is the customer relationship management module (CRM),Irrelevant
WU;Exercice 13;1;a) When a MRP run is to be executed the manufacturing department specifies the plant using the production planning system (PP),Relevant
WU;Exercice 13;2;b) Then the manufacturing department specifies the MRP parameters (planning type category of purchase requisition category of schedule line creation MRP list creation category planning mode lead time scheduling to be executed or not),Relevant
WU;Exercice 13;3;c) After specifying the parameters the MRP run can be launched,Relevant
